,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
6882,MiawAug,Cara Terkeren buat Kabur - Hello Neighbor Indonesia (Act 2 End),10377429,109280,0,30.017,2017-12-11,12
6883,MiawAug,Gamenya Nipu Gw - Freddy Fazbear's Pizzeria Simulator - Indonesia #2,1484366,30790,0,22.983,2017-12-10,13
6884,MiawAug,Tercyduk Bapake - Hello Neighbor Indonesia (Act 1 End),13785442,151950,0,21.083,2017-12-09,14
6885,MiawAug,Lawan Lebah dan Pirate - Cuphead - Indonesia Part 6,1194090,16074,0,16.767,2017-12-08,13
6886,MiawAug,Sabar Ada Batasnya 😱 - Getting Over It Indonesia,2092065,55245,0,13.567,2017-12-07,12
6887,MiawAug,Gamenya Kok Lucu - Freddy Fazbear's Pizzeria Simulator - Indonesia,2067517,39640,0,13.467,2017-12-06,12
6888,MiawAug,Playboy Cap Kadal - Until Dawn - Indonesia Part 4,263775,8162,0,22.783,2017-12-05,13
6889,MiawAug,Game Paling Susah - Getting Over It Indonesia,1215969,30199,0,15.567,2017-12-04,13
6890,MiawAug,GGS Beraksi - Roger - Mobile Legends Indonesia,2558918,47010,0,12.05,2017-12-03,14
6891,MiawAug,Perang Dingin Atar Teman - Until Dawn - Indonesia Part 3,315908,9009,0,29.85,2017-12-02,10
6892,MiawAug,We... Lawan Naga - Cuphead - Indonesia Part 5,1134577,15698,0,12.567,2017-12-01,10
6893,MiawAug,Lebih Seru Dari PUBG ? - Rules of Survival - Indonesia,6251766,83433,0,14.317,2017-11-30,10
6894,MiawAug,Naikin Rank Bossku - Mobile Legends Indonesia,7103326,141093,0,17.7,2017-11-29,13
6895,MiawAug,Reunian - Until Dawn - Indonesia Part 2,402720,10808,0,24.883,2017-11-28,12
6896,MiawAug,Perjalanan Dimulai - Until Dawn - Indonesia Part 1,789004,23518,0,21.25,2017-11-27,12
6897,MiawAug,1.000.000 Subs - Gold Play Button - Indonesia,1407995,91704,0,13.133,2017-11-26,9
6898,MiawAug,Bisa Main PB di HP!!! - Point Blank: Strike Indonesia,2384461,45222,0,11.817,2017-11-25,8
6899,MiawAug,Situ Berani ??? - Sophies Curse - Indonesia,1988421,50239,0,13.267,2017-11-24,13
6900,MiawAug,Zombie Penyet - Zombie Smasher - Indonesia,1525638,21459,0,10.133,2017-11-23,12
6901,MiawAug,Main Pake Otot - Cuphead - Indonesia Part 4,2017394,23242,0,14.333,2017-11-22,13
6902,MiawAug,Hero Favorite Subscribers - Irithel - Mobile Legends Indonesia,1317591,31570,0,16.65,2017-11-22,11
6903,MiawAug,Tiang Listrik VS MiawAug,1469705,40419,0,8.733,2017-11-21,13
6904,MiawAug,Penyesalan Datang Terakhir - Late Shift - Indonesia (END),125753,4413,0,41.883,2017-11-20,14
6905,MiawAug,Main Yuk ama MiawWise - IT Mini Game - Indonesia,3731069,67811,0,12.333,2017-11-19,13
6906,MiawAug,Youtuber Gaming Indonesia - Fanfest 2017 Panggung,431326,20234,0,23.733,2017-11-19,5
6907,MiawAug,Orang Cupu Main Mobile Legends Indonesia,4138750,154586,0,14.083,2017-11-18,11
6908,MiawAug,PUBG Versi HP - Free Fire: Battlegrounds - Indonesia,15286916,460047,0,12.817,2017-11-17,11
6909,MiawAug,Pilihan Hidup - Late Shift - Indonesia Part 1,232653,9496,0,25.367,2017-11-16,13
6910,MiawAug,Hampir Menyerah - Cuphead - Indonesia Part 3,1401370,18047,0,13.1,2017-11-14,14
6911,MiawAug,Misteri yang Bersambung - Little Nightmares: The Hideaway - Indonesia Part 3 (END),931932,20098,0,13.483,2017-11-13,12
6912,MiawAug,Serem Juga - Little Nightmares: The Hideaway - Indonesia Part 2,2046343,26636,0,19.433,2017-11-12,13
6913,MiawAug,Ternyata Game Gampang - Cuphead - Indonesia Part 2,1671464,26028,0,16.35,2017-11-11,10
6914,MiawAug,Melarikan Diri - Little Nightmares: The Hideaway - Indonesia Part 1,1412031,30232,0,25.05,2017-11-10,11
